pin,slack
DIO8_1/d8DataOut_m2[8]:D,
DIO8_1/d8DataOut_m2[8]:Y,11046
SSITop_2/Serial2ParallelData[14]:CLK,15326
SSITop_2/Serial2ParallelData[14]:D,15326
SSITop_2/Serial2ParallelData[14]:EN,10706
SSITop_2/Serial2ParallelData[14]:Q,15326
SSITop_2/Serial2ParallelData[14]:SLn,11847
CtrlOut_1/DataBuffer[0]:ALn,-4495
CtrlOut_1/DataBuffer[0]:CLK,15556
CtrlOut_1/DataBuffer[0]:D,
CtrlOut_1/DataBuffer[0]:EN,
CtrlOut_1/DataBuffer[0]:Q,15556
ClkCtrl_1/clk_1/Clock_Gen_0/CCC_INST/IP_INTERFACE_2:IPA,
ClkCtrl_1/clk_1/Clock_Gen_0/CCC_INST/IP_INTERFACE_2:IPB,
ClkCtrl_1/clk_1/Clock_Gen_0/CCC_INST/IP_INTERFACE_2:IPC,
DIO8_1/d8DataOut_m6_cZ[22]:A,15703
DIO8_1/d8DataOut_m6_cZ[22]:B,14545
DIO8_1/d8DataOut_m6_cZ[22]:C,12152
DIO8_1/d8DataOut_m6_cZ[22]:D,
DIO8_1/d8DataOut_m6_cZ[22]:Y,12152
Analog_1/DataBuf_1/RAM_2/ram_ram_0_1/CFG_16:C,10618
Analog_1/DataBuf_1/RAM_2/ram_ram_0_1/CFG_16:IPB,
Analog_1/DataBuf_1/RAM_2/ram_ram_0_1/CFG_16:IPC,10618
Quad_1/QuadXface_3/un3_capturelatch0counts_0_1:A,13470
Quad_1/QuadXface_3/un3_capturelatch0counts_0_1:B,13406
Quad_1/QuadXface_3/un3_capturelatch0counts_0_1:C,13326
Quad_1/QuadXface_3/un3_capturelatch0counts_0_1:Y,13326
Quad_1/QuadXface_5/QuadDataOut_1_49_1:A,15996
Quad_1/QuadXface_5/QuadDataOut_1_49_1:B,14875
Quad_1/QuadXface_5/QuadDataOut_1_49_1:C,15893
Quad_1/QuadXface_5/QuadDataOut_1_49_1:D,
Quad_1/QuadXface_5/QuadDataOut_1_49_1:Y,14875
Quad_1/QuadXface_4/intAccumOverflow_1_0_a3_11:A,9896
Quad_1/QuadXface_4/intAccumOverflow_1_0_a3_11:B,9796
Quad_1/QuadXface_4/intAccumOverflow_1_0_a3_11:C,9743
Quad_1/QuadXface_4/intAccumOverflow_1_0_a3_11:D,9651
Quad_1/QuadXface_4/intAccumOverflow_1_0_a3_11:Y,9651
MDTTop_1/CountRA_cry[16]:B,5736
MDTTop_1/CountRA_cry[16]:FCI,5442
MDTTop_1/CountRA_cry[16]:FCO,5442
MDTTop_1/CountRA_cry[16]:S,5461
LatCnt_1/LatencyCounter_cry[11]:B,5393
LatCnt_1/LatencyCounter_cry[11]:FCI,5176
LatCnt_1/LatencyCounter_cry[11]:FCO,5176
LatCnt_1/LatencyCounter_cry[11]:S,5556
DIO8_1/d8DataOut_m2_2[10]:A,12233
DIO8_1/d8DataOut_m2_2[10]:B,11046
DIO8_1/d8DataOut_m2_2[10]:C,
DIO8_1/d8DataOut_m2_2[10]:D,
DIO8_1/d8DataOut_m2_2[10]:Y,11046
WDT_1/WDTCounter[13]:ALn,13503
WDT_1/WDTCounter[13]:CLK,11366
WDT_1/WDTCounter[13]:D,13670
WDT_1/WDTCounter[13]:EN,11256
WDT_1/WDTCounter[13]:Q,11366
DiscID_1/DiscExpID_1/ExpansionID0_1_fast[8]:CLK,-12202
DiscID_1/DiscExpID_1/ExpansionID0_1_fast[8]:D,15310
DiscID_1/DiscExpID_1/ExpansionID0_1_fast[8]:EN,13010
DiscID_1/DiscExpID_1/ExpansionID0_1_fast[8]:Q,-12202
ExtADDR_ibuf[9]/U0/U_IOINFF:A,161
ExtADDR_ibuf[9]/U0/U_IOINFF:Y,161
Analog_1/DataBuf_1/AddrBank0_0_o2[3]:A,-12046
Analog_1/DataBuf_1/AddrBank0_0_o2[3]:B,-12153
Analog_1/DataBuf_1/AddrBank0_0_o2[3]:C,-12237
Analog_1/DataBuf_1/AddrBank0_0_o2[3]:D,-12329
Analog_1/DataBuf_1/AddrBank0_0_o2[3]:Y,-12329
Quad_1/QuadXface_6/intAccumOverflow_1_0_0_a2_0_5:A,9895
Quad_1/QuadXface_6/intAccumOverflow_1_0_0_a2_0_5:B,9845
Quad_1/QuadXface_6/intAccumOverflow_1_0_0_a2_0_5:Y,9845
Quad_1/QuadXface_3/Latch1Reg[14]:CLK,
Quad_1/QuadXface_3/Latch1Reg[14]:D,15287
Quad_1/QuadXface_3/Latch1Reg[14]:EN,13858
Quad_1/QuadXface_3/Latch1Reg[14]:Q,
MDTTop_1/AnlgDATA_m[15]:A,161
MDTTop_1/AnlgDATA_m[15]:B,
MDTTop_1/AnlgDATA_m[15]:C,
MDTTop_1/AnlgDATA_m[15]:D,
MDTTop_1/AnlgDATA_m[15]:Y,161
SSITop_1/DelayTerminalCount[0]:CLK,12571
SSITop_1/DelayTerminalCount[0]:D,
SSITop_1/DelayTerminalCount[0]:EN,-7666
SSITop_1/DelayTerminalCount[0]:Q,12571
Quad_1/QuadXface_5/HomeTriggerType[2]:CLK,12008
Quad_1/QuadXface_5/HomeTriggerType[2]:D,
Quad_1/QuadXface_5/HomeTriggerType[2]:EN,-7429
Quad_1/QuadXface_5/HomeTriggerType[2]:Q,12008
MDTTop_1/un124_data_0:A,12674
MDTTop_1/un124_data_0:B,9478
MDTTop_1/un124_data_0:C,9205
MDTTop_1/un124_data_0:Y,9205
Exp1Data_iobuf[0]/U0/U_IOPAD:D,
Exp1Data_iobuf[0]/U0/U_IOPAD:E,
Exp1Data_iobuf[0]/U0/U_IOPAD:PAD,
Exp1Data_iobuf[0]/U0/U_IOPAD:Y,
SSITop_2/DelayCounter_cry[11]:B,14030
SSITop_2/DelayCounter_cry[11]:FCI,13813
SSITop_2/DelayCounter_cry[11]:FCO,13813
SSITop_2/DelayCounter_cry[11]:S,13889
Quad_1/QuadXface_6/QuadCount_RNO[15]:B,9830
Quad_1/QuadXface_6/QuadCount_RNO[15]:C,13941
Quad_1/QuadXface_6/QuadCount_RNO[15]:FCI,10688
Quad_1/QuadXface_6/QuadCount_RNO[15]:S,9830
Quad_1/QuadXface_3/QuadDataOut_1_m2[11]:A,14796
Quad_1/QuadXface_3/QuadDataOut_1_m2[11]:B,14655
Quad_1/QuadXface_3/QuadDataOut_1_m2[11]:C,13546
Quad_1/QuadXface_3/QuadDataOut_1_m2[11]:D,
Quad_1/QuadXface_3/QuadDataOut_1_m2[11]:Y,13546
Decode_1/un1_discoverIdDataOut_0_iv_5_RNO[28]:A,7195
Decode_1/un1_discoverIdDataOut_0_iv_5_RNO[28]:B,14171
Decode_1/un1_discoverIdDataOut_0_iv_5_RNO[28]:C,
Decode_1/un1_discoverIdDataOut_0_iv_5_RNO[28]:D,16108
Decode_1/un1_discoverIdDataOut_0_iv_5_RNO[28]:Y,7195
Quad_1/QuadXface_4/QA[3]:CLK,13032
Quad_1/QuadXface_4/QA[3]:D,15326
Quad_1/QuadXface_4/QA[3]:Q,13032
DiscID_1/DiscExpID_1/ExpansionID1_1[15]:CLK,-10872
DiscID_1/DiscExpID_1/ExpansionID1_1[15]:D,15310
DiscID_1/DiscExpID_1/ExpansionID1_1[15]:EN,13010
DiscID_1/DiscExpID_1/ExpansionID1_1[15]:Q,-10872
DIO8_1/D8InputReg2[6]:CLK,
DIO8_1/D8InputReg2[6]:D,15303
DIO8_1/D8InputReg2[6]:EN,12602
DIO8_1/D8InputReg2[6]:Q,
WDT_1/N_263_i:A,13230
WDT_1/N_263_i:B,13596
WDT_1/N_263_i:Y,13230
Quad_1/QuadXface_3/HomeReg[0]:CLK,
Quad_1/QuadXface_3/HomeReg[0]:D,15287
Quad_1/QuadXface_3/HomeReg[0]:EN,15120
Quad_1/QuadXface_3/HomeReg[0]:Q,
QA1_RegX_PosLmt_ibuf/U0/U_IOINFF:A,
QA1_RegX_PosLmt_ibuf/U0/U_IOINFF:Y,
Quad_1/QuadXface_1/QuadDataOut_1_m2s2:A,10216
Quad_1/QuadXface_1/QuadDataOut_1_m2s2:B,12578
Quad_1/QuadXface_1/QuadDataOut_1_m2s2:C,10202
Quad_1/QuadXface_1/QuadDataOut_1_m2s2:Y,10202
Quad_1/QuadXface_4/un1_registrationx[0]:A,9524
Quad_1/QuadXface_4/un1_registrationx[0]:B,15548
Quad_1/QuadXface_4/un1_registrationx[0]:C,
Quad_1/QuadXface_4/un1_registrationx[0]:Y,9524
QA1_RegX_PosLmt_ibuf/U0/U_IOPAD:PAD,
QA1_RegX_PosLmt_ibuf/U0/U_IOPAD:Y,
Quad_1/QuadXface_3/HomeReg[14]:CLK,
Quad_1/QuadXface_3/HomeReg[14]:D,15287
Quad_1/QuadXface_3/HomeReg[14]:EN,15120
Quad_1/QuadXface_3/HomeReg[14]:Q,
Exp0Data_iobuf[1]/U0/U_IOPAD:D,
Exp0Data_iobuf[1]/U0/U_IOPAD:E,
Exp0Data_iobuf[1]/U0/U_IOPAD:PAD,
Exp0Data_iobuf[1]/U0/U_IOPAD:Y,
SSITop_1/DelayTerminalCount[11]:CLK,13051
SSITop_1/DelayTerminalCount[11]:D,
SSITop_1/DelayTerminalCount[11]:EN,-7666
SSITop_1/DelayTerminalCount[11]:Q,13051
SSITop_1/Serial2ParallelData[16]:CLK,15326
SSITop_1/Serial2ParallelData[16]:D,15326
SSITop_1/Serial2ParallelData[16]:EN,10706
SSITop_1/Serial2ParallelData[16]:Q,15326
SSITop_1/Serial2ParallelData[16]:SLn,11847
Analog_1/StateMach_1/intSerial2ParallelEN:CLK,13095
Analog_1/StateMach_1/intSerial2ParallelEN:D,10789
Analog_1/StateMach_1/intSerial2ParallelEN:EN,9918
Analog_1/StateMach_1/intSerial2ParallelEN:Q,13095
SSITop_1/DelayCounter[10]:CLK,11651
SSITop_1/DelayCounter[10]:D,13908
SSITop_1/DelayCounter[10]:EN,9833
SSITop_1/DelayCounter[10]:Q,11651
SSITop_1/DelayCounter[10]:SLn,10722
Quad_1/QuadXface_5/Latch1Lat:CLK,
Quad_1/QuadXface_5/Latch1Lat:D,15303
Quad_1/QuadXface_5/Latch1Lat:EN,12103
Quad_1/QuadXface_5/Latch1Lat:Q,
CtrlOut_2/Count[4]:CLK,13324
CtrlOut_2/Count[4]:D,9932
CtrlOut_2/Count[4]:EN,9904
CtrlOut_2/Count[4]:Q,13324
MDTTop_1/un1_discoverIdDataOut_0_iv_0[12]:A,7983
MDTTop_1/un1_discoverIdDataOut_0_iv_0[12]:B,13831
MDTTop_1/un1_discoverIdDataOut_0_iv_0[12]:C,4667
MDTTop_1/un1_discoverIdDataOut_0_iv_0[12]:D,
MDTTop_1/un1_discoverIdDataOut_0_iv_0[12]:Y,4667
DiscID_1/un33_expoldap2_1:A,10670
DiscID_1/un33_expoldap2_1:B,10620
DiscID_1/un33_expoldap2_1:Y,10620
SSITop_1/un1_enable_0:A,12937
SSITop_1/un1_enable_0:B,13061
SSITop_1/un1_enable_0:Y,12937
Quad_1/QuadXface_5/HomeReg[3]:CLK,
Quad_1/QuadXface_5/HomeReg[3]:D,15287
Quad_1/QuadXface_5/HomeReg[3]:EN,15120
Quad_1/QuadXface_5/HomeReg[3]:Q,
Decode_1/un1_discoverIdDataOut_iv_11_RNO[0]:A,3782
Decode_1/un1_discoverIdDataOut_iv_11_RNO[0]:B,13994
Decode_1/un1_discoverIdDataOut_iv_11_RNO[0]:C,12881
Decode_1/un1_discoverIdDataOut_iv_11_RNO[0]:D,12387
Decode_1/un1_discoverIdDataOut_iv_11_RNO[0]:Y,3782
MDTTop_2/Delay[3]:CLK,3364
MDTTop_2/Delay[3]:D,5708
MDTTop_2/Delay[3]:EN,4696
MDTTop_2/Delay[3]:Q,3364
MDTTop_2/Delay[3]:SLn,6387
ExpModLED_1/m35_i_a2:A,10539
ExpModLED_1/m35_i_a2:B,8684
ExpModLED_1/m35_i_a2:C,12831
ExpModLED_1/m35_i_a2:D,12731
ExpModLED_1/m35_i_a2:Y,8684
SSITop_1/Serial2ParallelData[10]:CLK,15326
SSITop_1/Serial2ParallelData[10]:D,15326
SSITop_1/Serial2ParallelData[10]:EN,10706
SSITop_1/Serial2ParallelData[10]:Q,15326
SSITop_1/Serial2ParallelData[10]:SLn,11847
Exp2Data_iobuf[0]/U0/U_IOINFF:A,
Exp2Data_iobuf[0]/U0/U_IOINFF:Y,
ExpSigRoute_4/un25_expdata_i_o2:A,
ExpSigRoute_4/un25_expdata_i_o2:B,
ExpSigRoute_4/un25_expdata_i_o2:C,
ExpSigRoute_4/un25_expdata_i_o2:D,
ExpSigRoute_4/un25_expdata_i_o2:Y,
Analog_1/DataBuf_1/RAM_1/ram_ram_0_0/FF_33:IPENn,
Quad_1/QuadXface_3/QH[0]:CLK,15334
Quad_1/QuadXface_3/QH[0]:D,9523
Quad_1/QuadXface_3/QH[0]:Q,15334
DIO8_1/d8DataOut_m5_1_0_wmux[1]:A,11650
DIO8_1/d8DataOut_m5_1_0_wmux[1]:B,11550
DIO8_1/d8DataOut_m5_1_0_wmux[1]:C,
DIO8_1/d8DataOut_m5_1_0_wmux[1]:D,
DIO8_1/d8DataOut_m5_1_0_wmux[1]:FCO,
DIO8_1/d8DataOut_m5_1_0_wmux[1]:Y,11550
CtrlIO_1/State_ns[3]:A,11138
CtrlIO_1/State_ns[3]:B,9332
CtrlIO_1/State_ns[3]:C,14153
CtrlIO_1/State_ns[3]:D,13779
CtrlIO_1/State_ns[3]:Y,9332
SSITop_1/ssiDataOut_0[3]:A,14599
SSITop_1/ssiDataOut_0[3]:B,
SSITop_1/ssiDataOut_0[3]:C,
SSITop_1/ssiDataOut_0[3]:Y,14599
Analog_1/Ser2Par_1/S2P_Data_3[8]:A,13260
Analog_1/Ser2Par_1/S2P_Data_3[8]:B,13169
Analog_1/Ser2Par_1/S2P_Data_3[8]:C,11421
Analog_1/Ser2Par_1/S2P_Data_3[8]:Y,11421
Quad_1/QuadXface_6/QA[0]:CLK,15334
Quad_1/QuadXface_6/QA[0]:D,
Quad_1/QuadXface_6/QA[0]:Q,15334
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[3]:CLK,12014
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[3]:D,15326
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[3]:EN,7490
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[3]:Q,12014
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[3]:SLn,9714
WDT_1/FPGAProgDOut_Z[11]:CLK,
WDT_1/FPGAProgDOut_Z[11]:D,
WDT_1/FPGAProgDOut_Z[11]:EN,-4037
WDT_1/FPGAProgDOut_Z[11]:Q,
Quad_1/QuadXface_3/QuadCount[10]:CLK,9651
Quad_1/QuadXface_3/QuadCount[10]:D,10783
Quad_1/QuadXface_3/QuadCount[10]:Q,9651
Quad_1/QuadXface_3/QuadCount[10]:SLn,11847
WDT_1/WDTCounterLoad:CLK,12649
WDT_1/WDTCounterLoad:D,14081
WDT_1/WDTCounterLoad:EN,13230
WDT_1/WDTCounterLoad:Q,12649
CtrlOut_2/State:CLK,12840
CtrlOut_2/State:D,9902
CtrlOut_2/State:Q,12840
CtrlOut_2/State:SLn,11847
Quad_1/QuadXface_4/HomeReg[11]:CLK,
Quad_1/QuadXface_4/HomeReg[11]:D,15287
Quad_1/QuadXface_4/HomeReg[11]:EN,15120
Quad_1/QuadXface_4/HomeReg[11]:Q,
MDTTop_1/un1_discoverIdDataOut_0_iv_6[15]:A,11581
MDTTop_1/un1_discoverIdDataOut_0_iv_6[15]:B,13846
MDTTop_1/un1_discoverIdDataOut_0_iv_6[15]:C,9941
MDTTop_1/un1_discoverIdDataOut_0_iv_6[15]:D,10926
MDTTop_1/un1_discoverIdDataOut_0_iv_6[15]:Y,9941
DIO8_1/D8InputReg1[4]:CLK,
DIO8_1/D8InputReg1[4]:D,15303
DIO8_1/D8InputReg1[4]:EN,12603
DIO8_1/D8InputReg1[4]:Q,
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[6]:CLK,12057
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[6]:D,15326
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[6]:EN,7490
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[6]:Q,12057
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[6]:SLn,9714
DIO8_1/d8DataOut_m2[12]:A,12375
DIO8_1/d8DataOut_m2[12]:B,11317
DIO8_1/d8DataOut_m2[12]:C,10122
DIO8_1/d8DataOut_m2[12]:D,
DIO8_1/d8DataOut_m2[12]:Y,10122
WDT_1/WDTCounter_cry[10]:B,13727
WDT_1/WDTCounter_cry[10]:C,13848
WDT_1/WDTCounter_cry[10]:D,14873
WDT_1/WDTCounter_cry[10]:FCI,13518
WDT_1/WDTCounter_cry[10]:FCO,13518
WDT_1/WDTCounter_cry[10]:S,13727
DiscID_1/DiscExpID_1/ExpansionID3_1[1]:CLK,11829
DiscID_1/DiscExpID_1/ExpansionID3_1[1]:D,15318
DiscID_1/DiscExpID_1/ExpansionID3_1[1]:EN,13010
DiscID_1/DiscExpID_1/ExpansionID3_1[1]:Q,11829
Quad_1/QuadXface_2/EdgeMode:CLK,
Quad_1/QuadXface_2/EdgeMode:D,-7004
Quad_1/QuadXface_2/EdgeMode:EN,-11160
Quad_1/QuadXface_2/EdgeMode:Q,
Quad_1/QuadXface_3/intAccumOverflow_1_0_a3_0_14:A,10881
Quad_1/QuadXface_3/intAccumOverflow_1_0_a3_0_14:B,10790
Quad_1/QuadXface_3/intAccumOverflow_1_0_a3_0_14:C,12080
Quad_1/QuadXface_3/intAccumOverflow_1_0_a3_0_14:Y,10790
SSITop_1/ssiDataOut_0[9]:A,15969
SSITop_1/ssiDataOut_0[9]:B,
SSITop_1/ssiDataOut_0[9]:C,
SSITop_1/ssiDataOut_0[9]:Y,15969
ExtADDR_ibuf[4]/U0/U_IOPAD:PAD,2171
ExtADDR_ibuf[4]/U0/U_IOPAD:Y,2171
DIO8_1/State_Z[2]:ALn,13503
DIO8_1/State_Z[2]:CLK,12915
DIO8_1/State_Z[2]:D,6989
DIO8_1/State_Z[2]:Q,12915
Analog_1/Ser2Par_1/S2P_M0Ch0_Data[1]:CLK,11938
Analog_1/Ser2Par_1/S2P_M0Ch0_Data[1]:D,15326
Analog_1/Ser2Par_1/S2P_M0Ch0_Data[1]:EN,7490
Analog_1/Ser2Par_1/S2P_M0Ch0_Data[1]:Q,11938
Analog_1/Ser2Par_1/S2P_M0Ch0_Data[1]:SLn,9714
CtrlIO_1/ShiftEnable:ALn,13503
CtrlIO_1/ShiftEnable:CLK,11815
CtrlIO_1/ShiftEnable:D,9281
CtrlIO_1/ShiftEnable:EN,11011
CtrlIO_1/ShiftEnable:Q,11815
ExpModLED_1/Exp3LED[3]:ALn,-4495
ExpModLED_1/Exp3LED[3]:CLK,13125
ExpModLED_1/Exp3LED[3]:D,-12189
ExpModLED_1/Exp3LED[3]:Q,13125
Analog_1/DataBuf_1/AddrBank0_0[4]:A,13689
Analog_1/DataBuf_1/AddrBank0_0[4]:B,7930
Analog_1/DataBuf_1/AddrBank0_0[4]:C,
Analog_1/DataBuf_1/AddrBank0_0[4]:D,13519
Analog_1/DataBuf_1/AddrBank0_0[4]:Y,7930
Quad_1/QuadXface_2/QuadDataOut_1_1_0_wmux[4]:A,11804
Quad_1/QuadXface_2/QuadDataOut_1_1_0_wmux[4]:B,11668
Quad_1/QuadXface_2/QuadDataOut_1_1_0_wmux[4]:C,11370
Quad_1/QuadXface_2/QuadDataOut_1_1_0_wmux[4]:D,
Quad_1/QuadXface_2/QuadDataOut_1_1_0_wmux[4]:FCO,
Quad_1/QuadXface_2/QuadDataOut_1_1_0_wmux[4]:Y,11370
LatCnt_1/LatencyCounter[6]:CLK,5298
LatCnt_1/LatencyCounter[6]:D,5651
LatCnt_1/LatencyCounter[6]:EN,-6247
LatCnt_1/LatencyCounter[6]:Q,5298
LatCnt_1/LatencyCounter[6]:SLn,-5250
DiscID_1/un24_expoldap2:A,11829
DiscID_1/un24_expoldap2:B,11771
DiscID_1/un24_expoldap2:C,10620
DiscID_1/un24_expoldap2:D,9180
DiscID_1/un24_expoldap2:Y,9180
CtrlIO_1/StartStateMachine_2:A,14317
CtrlIO_1/StartStateMachine_2:B,11094
CtrlIO_1/StartStateMachine_2:C,14127
CtrlIO_1/StartStateMachine_2:D,14088
CtrlIO_1/StartStateMachine_2:Y,11094
Quad_1/QuadXface_4/QuadDataOut_1_1_0_wmux_0[2]:A,11401
Quad_1/QuadXface_4/QuadDataOut_1_1_0_wmux_0[2]:B,13994
Quad_1/QuadXface_4/QuadDataOut_1_1_0_wmux_0[2]:C,
Quad_1/QuadXface_4/QuadDataOut_1_1_0_wmux_0[2]:D,
Quad_1/QuadXface_4/QuadDataOut_1_1_0_wmux_0[2]:FCI,
Quad_1/QuadXface_4/QuadDataOut_1_1_0_wmux_0[2]:Y,11401
DIO8_1/ExpD8_Latch:ALn,13503
DIO8_1/ExpD8_Latch:CLK,14073
DIO8_1/ExpD8_Latch:D,11652
DIO8_1/ExpD8_Latch:EN,12128
DIO8_1/ExpD8_Latch:Q,14073
Decode_1/un1_exp3quadcountread_0_a2:A,12583
Decode_1/un1_exp3quadcountread_0_a2:B,15917
Decode_1/un1_exp3quadcountread_0_a2:C,15671
Decode_1/un1_exp3quadcountread_0_a2:D,14574
Decode_1/un1_exp3quadcountread_0_a2:Y,12583
MDTTop_2/State_r[4]:A,5922
MDTTop_2/State_r[4]:B,-3745
MDTTop_2/State_r[4]:C,5835
MDTTop_2/State_r[4]:Y,-3745
MDTTop_1/un1_discoverIdDataOut_0_iv_cZ[24]:A,10590
MDTTop_1/un1_discoverIdDataOut_0_iv_cZ[24]:B,161
MDTTop_1/un1_discoverIdDataOut_0_iv_cZ[24]:C,9065
MDTTop_1/un1_discoverIdDataOut_0_iv_cZ[24]:D,14888
MDTTop_1/un1_discoverIdDataOut_0_iv_cZ[24]:Y,161
DIO8_1/d8DataOut_m6_cZ[29]:A,14568
DIO8_1/d8DataOut_m6_cZ[29]:B,13410
DIO8_1/d8DataOut_m6_cZ[29]:C,11017
DIO8_1/d8DataOut_m6_cZ[29]:D,
DIO8_1/d8DataOut_m6_cZ[29]:Y,11017
SSITop_2/Serial2ParallelData[31]:CLK,15334
SSITop_2/Serial2ParallelData[31]:D,15326
SSITop_2/Serial2ParallelData[31]:EN,10706
SSITop_2/Serial2ParallelData[31]:Q,15334
SSITop_2/Serial2ParallelData[31]:SLn,11847
ExpModLED_1/expLedDataOut_3_m2_1[1]:A,14312
ExpModLED_1/expLedDataOut_3_m2_1[1]:B,14218
ExpModLED_1/expLedDataOut_3_m2_1[1]:C,14249
ExpModLED_1/expLedDataOut_3_m2_1[1]:D,
ExpModLED_1/expLedDataOut_3_m2_1[1]:Y,14218
WDT_1/AccessKeyReg1[0]:ALn,
WDT_1/AccessKeyReg1[0]:CLK,12110
WDT_1/AccessKeyReg1[0]:D,14233
WDT_1/AccessKeyReg1[0]:EN,-3970
WDT_1/AccessKeyReg1[0]:Q,12110
Quad_1/QuadXface_2/QuadCount_RNIHTEKF[14]:A,14088
Quad_1/QuadXface_2/QuadCount_RNIHTEKF[14]:B,10936
Quad_1/QuadXface_2/QuadCount_RNIHTEKF[14]:C,13890
Quad_1/QuadXface_2/QuadCount_RNIHTEKF[14]:FCI,10688
Quad_1/QuadXface_2/QuadCount_RNIHTEKF[14]:FCO,10688
Quad_1/QuadXface_2/QuadCount_RNIHTEKF[14]:S,10707
SSITop_2/TransducerSelect[3]:CLK,14266
SSITop_2/TransducerSelect[3]:D,
SSITop_2/TransducerSelect[3]:EN,-7390
SSITop_2/TransducerSelect[3]:Q,14266
ExpModLED_1/ShiftRegister0_3_i_m2_i_m2_2[2]:A,14485
ExpModLED_1/ShiftRegister0_3_i_m2_i_m2_2[2]:B,14402
ExpModLED_1/ShiftRegister0_3_i_m2_i_m2_2[2]:C,11669
ExpModLED_1/ShiftRegister0_3_i_m2_i_m2_2[2]:D,9180
ExpModLED_1/ShiftRegister0_3_i_m2_i_m2_2[2]:Y,9180
Analog_1/DataBuf_1/RAM_1/ram_ram_0_0/CFG_28:C,7723
Analog_1/DataBuf_1/RAM_1/ram_ram_0_0/CFG_28:IPC,7723
LatCnt_1/LatencyCounter[19]:CLK,5545
LatCnt_1/LatencyCounter[19]:D,5404
LatCnt_1/LatencyCounter[19]:EN,-6247
LatCnt_1/LatencyCounter[19]:Q,5545
LatCnt_1/LatencyCounter[19]:SLn,-5250
Quad_1/QuadXface_3/intAccumOverflow_1_0_a3_11:A,9896
Quad_1/QuadXface_3/intAccumOverflow_1_0_a3_11:B,9796
Quad_1/QuadXface_3/intAccumOverflow_1_0_a3_11:C,9743
Quad_1/QuadXface_3/intAccumOverflow_1_0_a3_11:D,9651
Quad_1/QuadXface_3/intAccumOverflow_1_0_a3_11:Y,9651
M_IO_DATAIn_ibuf/U0/U_IOPAD:PAD,
M_IO_DATAIn_ibuf/U0/U_IOPAD:Y,
Decode_1/un7_data_2_0_a2_0:A,1549
Decode_1/un7_data_2_0_a2_0:B,1547
Decode_1/un7_data_2_0_a2_0:C,1405
Decode_1/un7_data_2_0_a2_0:D,1280
Decode_1/un7_data_2_0_a2_0:Y,1280
SerMemInt_1/SerialDataCounter[2]:CLK,11936
SerMemInt_1/SerialDataCounter[2]:D,9530
SerMemInt_1/SerialDataCounter[2]:Q,11936
Quad_1/QuadXface_3/QuadLatch[9]:CLK,
Quad_1/QuadXface_3/QuadLatch[9]:D,15287
Quad_1/QuadXface_3/QuadLatch[9]:EN,12103
Quad_1/QuadXface_3/QuadLatch[9]:Q,
DIO8_1/IntWrite:CLK,14059
DIO8_1/IntWrite:D,7045
DIO8_1/IntWrite:EN,6739
DIO8_1/IntWrite:Q,14059
Quad_1/QuadXface_6/QuadCount_RNIR7PSA[10]:A,14066
Quad_1/QuadXface_6/QuadCount_RNIR7PSA[10]:B,10878
Quad_1/QuadXface_6/QuadCount_RNIR7PSA[10]:C,13846
Quad_1/QuadXface_6/QuadCount_RNIR7PSA[10]:FCI,10688
Quad_1/QuadXface_6/QuadCount_RNIR7PSA[10]:FCO,10688
Quad_1/QuadXface_6/QuadCount_RNIR7PSA[10]:S,10783
Quad_1/QuadXface_3/Latch0Reg[9]:CLK,
Quad_1/QuadXface_3/Latch0Reg[9]:D,15287
Quad_1/QuadXface_3/Latch0Reg[9]:EN,13858
Quad_1/QuadXface_3/Latch0Reg[9]:Q,
ExpModLED_1/ShiftRegister1_3_i_m2_i_m2[2]:A,14333
ExpModLED_1/ShiftRegister1_3_i_m2_i_m2[2]:B,12913
ExpModLED_1/ShiftRegister1_3_i_m2_i_m2[2]:C,9180
ExpModLED_1/ShiftRegister1_3_i_m2_i_m2[2]:Y,9180
SSITop_1/intSSI_CLK:CLK,12959
SSITop_1/intSSI_CLK:D,13085
SSITop_1/intSSI_CLK:Q,12959
Quad_1/QuadXface_1/QB[3]:CLK,13123
Quad_1/QuadXface_1/QB[3]:D,15318
Quad_1/QuadXface_1/QB[3]:Q,13123
MDTTop_1/RetPulseDelayEnable_1_sqmuxa_i_a2_5:A,3478
MDTTop_1/RetPulseDelayEnable_1_sqmuxa_i_a2_5:B,3387
MDTTop_1/RetPulseDelayEnable_1_sqmuxa_i_a2_5:C,3334
MDTTop_1/RetPulseDelayEnable_1_sqmuxa_i_a2_5:D,3242
MDTTop_1/RetPulseDelayEnable_1_sqmuxa_i_a2_5:Y,3242
SSITop_2/un5_ssidataout:A,
SSITop_2/un5_ssidataout:B,
SSITop_2/un5_ssidataout:C,
SSITop_2/un5_ssidataout:D,13492
SSITop_2/un5_ssidataout:Y,13492
