SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
86,Quad_1.QuadXface_3.EdgeMode,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,TickSync_1.LatchedTickSync,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
87,Quad_1.QuadXface_3.intLatch0Lat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_3.Latch0ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
88,Quad_1.QuadXface_3.Latch0Reg[15:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_3.Latch0ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
89,Quad_1.QuadXface_3.intLatch1Lat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_3.Latch1ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
90,Quad_1.QuadXface_3.Latch1Reg[15:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_3.Latch1ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
91,Quad_1.QuadXface_3.intEdgeMode,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_3.LearnModeEnable,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
92,Quad_1.QuadXface_3.intLearnModeDone,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_3.LearnModeEnable,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
93,Quad_1.QuadXface_3.IndexEdgeDetected,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_3.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
94,Quad_1.QuadXface_3.CaptureHomeCountsLat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_3.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
95,Quad_1.QuadXface_3.intHomeLat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_3.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
96,Quad_1.QuadXface_2.HomePolarity,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID1_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
97,Quad_1.QuadXface_2.IndexPolarity,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID1_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
98,Quad_1.QuadXface_2.Latch0InSel,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID1_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
99,Quad_1.QuadXface_2.Latch1InSel,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID1_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
100,Quad_1.QuadXface_2.HomeArm,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_2.intHomeLat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
101,Quad_1.QuadXface_2.HomeTriggerType[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID1_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
102,Quad_1.QuadXface_2.Latch0ArmedState[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_2.intLatch0Lat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
103,Quad_1.QuadXface_2.Latch1ArmedState[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_2.intLatch1Lat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
104,Quad_1.QuadXface_2.LearnModeEnable,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_2.clrLearnModeDone,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
105,Quad_1.QuadXface_2.QL0[2:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_2.Latch0InSel,Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing.
106,Quad_1.QuadXface_2.QL1[2:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_2.Latch1InSel,Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing.
107,Quad_1.QuadXface_2.EdgeMode,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,TickSync_1.LatchedTickSync,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
108,Quad_1.QuadXface_2.intLatch0Lat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_2.Latch0ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
109,Quad_1.QuadXface_2.Latch0Reg[15:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_2.Latch0ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
110,Quad_1.QuadXface_2.intLatch1Lat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_2.Latch1ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
111,Quad_1.QuadXface_2.Latch1Reg[15:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_2.Latch1ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
112,Quad_1.QuadXface_2.intEdgeMode,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_2.LearnModeEnable,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
113,Quad_1.QuadXface_2.intLearnModeDone,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_2.LearnModeEnable,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
114,Quad_1.QuadXface_2.IndexEdgeDetected,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_2.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
115,Quad_1.QuadXface_2.CaptureHomeCountsLat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_2.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
116,Quad_1.QuadXface_2.intHomeLat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_2.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
117,Quad_1.QuadXface_1.HomePolarity,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID0_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
118,Quad_1.QuadXface_1.IndexPolarity,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID0_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
119,Quad_1.QuadXface_1.Latch0InSel,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID0_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
120,Quad_1.QuadXface_1.Latch1InSel,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID0_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
121,Quad_1.QuadXface_1.HomeArm,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_1.intHomeLat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
122,Quad_1.QuadXface_1.HomeTriggerType[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID0_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
123,Quad_1.QuadXface_1.Latch0ArmedState[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_1.intLatch0Lat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
124,Quad_1.QuadXface_1.Latch1ArmedState[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_1.intLatch1Lat,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
125,Quad_1.QuadXface_1.LearnModeEnable,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Quad_1.QuadXface_1.clrLearnModeDone,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
126,Quad_1.QuadXface_1.QL0[2:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_1.Latch0InSel,Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing.
127,Quad_1.QuadXface_1.QL1[2:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_1.Latch1InSel,Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing.
128,Quad_1.QuadXface_1.EdgeMode,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,TickSync_1.LatchedTickSync,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
129,Quad_1.QuadXface_1.intLatch0Lat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_1.Latch0ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
130,Quad_1.QuadXface_1.Latch0Reg[15:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_1.Latch0ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
131,Quad_1.QuadXface_1.intLatch1Lat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_1.Latch1ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
132,Quad_1.QuadXface_1.Latch1Reg[15:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_1.Latch1ArmedState[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
133,Quad_1.QuadXface_1.intEdgeMode,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_1.LearnModeEnable,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
134,Quad_1.QuadXface_1.intLearnModeDone,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_1.LearnModeEnable,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
135,Quad_1.QuadXface_1.IndexEdgeDetected,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_1.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
136,Quad_1.QuadXface_1.CaptureHomeCountsLat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_1.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
137,Quad_1.QuadXface_1.intHomeLat,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Quad_1.QuadXface_1.HomeTriggerType[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
138,DIO8_1.D8OutputReg0[31:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID0_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
139,DIO8_1.D8OutputReg1[31:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID1_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
140,DIO8_1.D8OutputReg2[31:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID2_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
141,DIO8_1.D8OutputReg3[31:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscExpID_1.ExpansionID3_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
142,DIO8_1.OutputShiftRegister[15:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,DIO8_1.D8OutputReg0[31:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
143,SerMemInt_1.WriteLatch,Clock_Gen_Clock_Gen_0_FCCC|GL0_net_inferred_clock,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,ClkCtrl_1.SysRESET,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
144,SerMemInt_1.ReadLatch,Clock_Gen_Clock_Gen_0_FCCC|GL0_net_inferred_clock,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,ClkCtrl_1.SysRESET,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
145,SerMemInt_1.WriteFlag,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Clock_Gen_Clock_Gen_0_FCCC|GL0_net_inferred_clock,SerMemInt_1.WriteLatch,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
146,SerMemInt_1.ReadFlag,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Clock_Gen_Clock_Gen_0_FCCC|GL0_net_inferred_clock,SerMemInt_1.ReadLatch,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
147,SerMemInt_1.SerialDataOutput[7:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Clock_Gen_Clock_Gen_0_FCCC|GL0_net_inferred_clock,SerMemInt_1.MemoryAddress[5:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
148,SerMemInt_1.SerialDataInput[7:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Clock_Gen_Clock_Gen_0_FCCC|GL0_net_inferred_clock,SerMemInt_1.intModuleAddress[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
149,SerMemInt_1.StateMachine[0:12],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Clock_Gen_Clock_Gen_0_FCCC|GL0_net_inferred_clock,SerMemInt_1.intModuleAddress[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
150,SerMemInt_1.IncOperationFaultCount,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Clock_Gen_Clock_Gen_0_FCCC|GL0_net_inferred_clock,SerMemInt_1.intModuleAddress[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
151,SerMemInt_1.LoadMemAddr,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Clock_Gen_Clock_Gen_0_FCCC|GL0_net_inferred_clock,SerMemInt_1.intModuleAddress[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
152,SerMemInt_1.ShiftEnable,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Clock_Gen_Clock_Gen_0_FCCC|GL0_net_inferred_clock,SerMemInt_1.intModuleAddress[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
153,Analog_1.DataBuf_1.DetectRead,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscCtrlID_1.ControlID_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
154,Analog_1.DataBuf_1.ReadPointer[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,DiscID_1.DiscCtrlID_1.ControlID_1[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
155,Analog_1.DataBuf_1.ReadPointer[2:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL0_net_inferred_clock,TickSync_1.LatchedTickSync60,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
156,Analog_1.DataBuf_1.RAM_2.ram[15:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Analog_1.DataBuf_1.ReadPointer[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
157,Analog_1.DataBuf_1.RAM_2.read_a[6:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Analog_1.DataBuf_1.ReadPointer[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
158,Analog_1.DataBuf_1.RAM_1.ram[15:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Analog_1.DataBuf_1.ReadPointer[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
159,Analog_1.DataBuf_1.RAM_1.read_a[6:0],Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,Analog_1.DataBuf_1.ReadPointer[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
160,Analog_1.StateMach_1.InterConversionDelayTC,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,CPUCnf_1.intLoopTime[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
161,WDT_1.ClearKey,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,WDT_1.WD_RST_SHIFT[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
162,WDT_1.WriteEnd,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,WDT_1.WD_RST_SHIFT[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
163,WDT_1.WriteEndLatch,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,WDT_1.WD_RST_SHIFT[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
164,WDT_1.FPGAProgDOut[31:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,WDT_1.WD_RST_SHIFT[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
165,WDT_1.PUReg[19:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,WDT_1.WDTTerminalCount,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
166,WDT_1.LoadWDTCount1,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,WDT_1.LoadWDTCount,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
167,WDT_1.WDTCounterLoad,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,WDT_1.FPGAResetStatus,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
168,WDT_1.LoadWDTCount,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,Top|H1_CLKWR,WDT_1.LoadWDTCount1,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
169,WDT_1.PreClearKey,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,WDT_1.WD_RST_SHIFT[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
170,WDT_1.FPGA_RstReq,Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,WDT_1.WD_RST_SHIFT[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
171,WDT_1.AccessKeyReg1[3:0],Top|H1_CLKWR,Clock_Gen_Clock_Gen_0_FCCC|GL2_net_inferred_clock,WDT_1.WD_RST_SHIFT[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
